idx,car_position_x,car_position_y,cte,etheta,cmd_vel.linear.x,cmd_vel.angular.z
316,-4.94908,10.041,0.00102629,-0.000426984,0.500105,-0.0145613
317,-4.99907,10.041,0.000972191,-0.00172941,0.49992,0.0136358
318,-5.04909,10.0409,0.00092167,-0.000301022,0.500106,-0.0147906
319,-5.09907,10.0409,0.00087302,-0.00163688,0.499917,0.0139746
320,-5.14909,10.0408,0.000827694,-0.000186036,0.500107,-0.0150312
321,-5.19907,10.0408,0.000783948,-0.00155524,0.499913,0.014315
322,-5.24909,10.0407,0.000743302,-8.07821e-05,0.500109,-0.0152819
323,-5.29908,10.0407,0.000703971,-0.00148346,0.499909,0.0146579
324,-5.3491,10.0407,0.000667538,1.56062e-05,0.50011,-0.0155428
325,-5.39908,10.0406,0.000632172,-0.00142083,0.499906,0.0150031
326,-5.4491,10.0406,0.000599519,0.000103825,0.500112,-0.0158146
327,-5.49908,10.0406,0.000567703,-0.00136662,0.499903,0.0153501
328,-5.5491,10.0405,0.000538434,0.00018465,0.500113,-0.0160978
329,-5.59908,10.0405,0.000509793,-0.00132001,0.4999,0.0156992
330,-5.6491,10.0405,0.000483556,0.000259004,0.500115,-0.0163919
